time,primary_key,primary_value,repeated_field,random_nonsense,long_payload
2020-12-31 12:53:48.208497,0xc1d6,543735,same silly value,348e7774-7d37-42eb-ac3e-85a8af435acb,Splunk> Can you SPL?
2020-12-31 14:14:31.096609,0xc100,928916,same silly value,a457bfae-e233-4788-9501-a45d381f7c63,splunk> We enjoy breaks more than Unions 
2020-12-31 14:29:26.370618,0x78ba,630521,same silly value,e71f2c0f-ce53-4c20-947c-b96dc45e5356,splunk> We line break for regular expressions 
2020-12-31 14:51:38.966209,0xa02b,204043,same silly value,2ef22c8b-7b3b-4f93-97f1-35696d173ceb,Splunk> Beause Ninjas are too busy.
2020-12-31 15:28:28.445450,0x704b,855400,same silly value,6f035111-82b0-4f8b-ace7-647b4bc83df5,Splunk> Winning the War on Error 
2020-12-31 17:15:48.293533,0xb396,485102,same silly value,5a3c0fcd-c1b2-4ccf-8480-69d537bfa489,splunk> Caught me on the server - Wasn't me. 
2020-12-31 20:10:24.619322,0xac4a,492692,same silly value,a42427a3-84eb-499c-b488-e0ac1fd3310e,Splunk> Be an IT superhero. Go home early. 
2020-12-31 20:57:03.842478,0xd9eb,147557,same silly value,368f5d88-0fa6-4bb5-858c-79b789dc9a13,Splunk> IoTee.
2020-12-31 21:13:28.078250,0x9d2,577283,same silly value,aa3cd147-7791-40bf-abbe-74bd6cf15f68,Splunk> Cloud control
2021-01-01 00:25:05.506400,0x75c6,218684,same silly value,9ea0cba2-1b95-4ce6-96bc-c9633e3f51b8,Splunk> Now with more code! 
2021-01-01 02:17:54.723413,0x84e2,811864,same silly value,56d570cf-5f82-4d5b-9727-afe0bc8f5ca4,"splunk> I gotta fever, and the only cure is MOAR LICENSE! "
2021-01-01 03:42:38.552588,0xf9e9,711541,same silly value,0981de87-cdeb-4883-8ced-b6854e8b07ab,Splunk> Ctrl + F1
2021-01-01 05:06:53.860613,0xd4c2,934394,same silly value,933d2b19-7f10-4c42-8d4a-595cbb87e86b,splunk> IT like you mean it 
2021-01-01 06:00:35.303271,0xbb55,549044,same silly value,82fff6d9-5a53-454a-9eb4-f954b0fbe59b,splunk> Open a can of whooparse 
2021-01-01 07:55:25.494576,0x5384,785107,same silly value,35dc7449-195c-469a-9943-eddf355533c0,splunk> Caught me on the server - Wasn't me. 
2021-01-01 09:35:26.317229,0x6370,989056,same silly value,798dfa77-b815-465e-8eee-ba2e855a9653,Splunk> Because you can't always blame Canada
