source,component,count
"/opt/splunk/var/log/splunk/health.log",PeriodicHealthReporter,2405
"/opt/splunk/var/log/splunk/license_usage.log",LicenseUsage,10348
"/opt/splunk/var/log/splunk/metrics.log",Metrics,66387
"/opt/splunk/var/log/splunk/metrics.log",StatusMgr,51873
"/opt/splunk/var/log/splunk/splunkd.log",AggregatorMiningProcessor,266
"/opt/splunk/var/log/splunk/splunkd.log",Archiver,4
"/opt/splunk/var/log/splunk/splunkd.log",BucketReplicator,106
"/opt/splunk/var/log/splunk/splunkd.log",CMBucket,14
"/opt/splunk/var/log/splunk/splunkd.log",CMMaster,91
"/opt/splunk/var/log/splunk/splunkd.log",CMPeer,51
"/opt/splunk/var/log/splunk/splunkd.log",CMRepJob,41
"/opt/splunk/var/log/splunk/splunkd.log",CMSlave,193
"/opt/splunk/var/log/splunk/splunkd.log",CacheManager,242018
"/opt/splunk/var/log/splunk/splunkd.log",CacheManagerHandler,126
"/opt/splunk/var/log/splunk/splunkd.log",DatabaseDirectoryManager,241
"/opt/splunk/var/log/splunk/splunkd.log",DateParserVerbose,44
"/opt/splunk/var/log/splunk/splunkd.log",ExecProcessor,29
"/opt/splunk/var/log/splunk/splunkd.log",HotBucketRoller,13
"/opt/splunk/var/log/splunk/splunkd.log",HotDBManager,11
"/opt/splunk/var/log/splunk/splunkd.log",HttpInputDataHandler,45
"/opt/splunk/var/log/splunk/splunkd.log",HttpListener,178
"/opt/splunk/var/log/splunk/splunkd.log",HttpPubSubConnection,2
"/opt/splunk/var/log/splunk/splunkd.log",IndexWriter,11
"/opt/splunk/var/log/splunk/splunkd.log",IndexerIf,19
"/opt/splunk/var/log/splunk/splunkd.log",LineBreakingProcessor,163
"/opt/splunk/var/log/splunk/splunkd.log",MongoModificationsTracker,11
"/opt/splunk/var/log/splunk/splunkd.log",PasswordHandler,7
"/opt/splunk/var/log/splunk/splunkd.log",S2SFileReceiver,136
"/opt/splunk/var/log/splunk/splunkd.log",SHCMaster,8
"/opt/splunk/var/log/splunk/splunkd.log",SSLCommon,93
"/opt/splunk/var/log/splunk/splunkd.log","SearchOperator:kv",84
"/opt/splunk/var/log/splunk/splunkd.log",SearchResultsCSVSerializer,30
"/opt/splunk/var/log/splunk/splunkd.log",StreamingBucketBuilder,30
"/opt/splunk/var/log/splunk/splunkd.log",TailReader,1
"/opt/splunk/var/log/splunk/splunkd.log",TcpInputProc,101
"/opt/splunk/var/log/splunk/splunkd.log",TcpOutputProc,7
"/opt/splunk/var/log/splunk/splunkd.log",UserManagerPro,12
"/opt/splunk/var/log/splunk/splunkd.log",WatchedFile,9
"/opt/splunk/var/log/splunk/splunkd.log",X509Verify,67
