,name,api_name,physical_processor,arch,region,price_per_hour_reserved,price_per_hour_ondemand,vcpu,memory_gib,storage_gib
0,M5DN Extra Large,m5dn.xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,4,16.0,150
1,M5A Double Extra Large,m5a.2xlarge,AMD EPYC 7571,64-bit,sa-east-1,0.552,0.326,8,32.0,0
2,R5N 12xlarge,r5n.12xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,48,384.0,0
3,R5AD Extra Large,r5ad.xlarge,AMD EPYC 7571,64-bit,sa-east-1,0.532,0.338,4,32.0,150
4,R5N Extra Large,r5n.xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,4,32.0,0
5,I3EN 12xlarge,i3en.12xlarge,Intel Xeon Platinum 8175,64-bit,sa-east-1,0.0,0.0,48,384.0,30000
6,I3EN Metal,i3en.metal,Intel Xeon Platinum 8175,64-bit,sa-east-1,0.0,0.0,96,768.0,60000
7,R5DN Extra Large,r5dn.xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,4,32.0,150
8,I2 Extra Large,i2.xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),64-bit,sa-east-1,0.0,0.0,4,30.5,800
9,M5N 16xlarge,m5n.16xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,sa-east-1,0.0,0.0,64,256.0,0
10,T2 Micro,t2.micro,Intel Xeon Family,32/64-bit,sa-east-1,0.0186,0.0106,1                                                   for a                 2h 24m                 burst,1.0,0
11,D2 Eight Extra Large,d2.8xlarge,Intel Xeon E5-2676v3 (Haswell),64-bit,sa-east-1,0.0,0.0,36,244.0,48000
12,I3EN 3xlarge,i3en.3xlarge,Intel Xeon Platinum 8175,64-bit,sa-east-1,0.0,0.0,12,96.0,7500
